id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
460071-2026;;Deutschland – Reinigungsdienste – Unterhalts- und Grundreinigung sowie Gästezimmerreinigung für die Akademie für Lehrerfortbildung u. Personalführung (ALP) in Dillingen a. d. D.;Freistaat Bayern Vertreten durch die Akademie für Lehrerfortbildung und Personalführung (ALP);Dillingen;2971705.33;2026-07-09T07:00:00.000Z;90910000 90911100 90911200 90919000;75;https://ted.europa.eu/bg/notice/-/detail/460071-2026
461449-2026;;Deutschland – Reinigungsdienste – Stadt Helmstedt - Gebäudereinigung;Stadt Helmstedt;Helmstedt;1;2026-08-12T08:00:00.000Z;90910000 90911000 90919000 90919200 90911300 90919300;75;https://ted.europa.eu/bg/notice/-/detail/461449-2026
462251-2026;;Deutschland – Gebäudereinigung – Unterhaltsreinigung in der Bayerischen Staatskanzlei;Bayerische Staatskanzlei;München;1900000;2026-07-15T10:00:00.000Z;90911200;75;https://ted.europa.eu/bg/notice/-/detail/462251-2026
471147-2026;;Deutschland – Gebäudereinigung – Unterhaltsreinigung in der Bayerischen Staatskanzlei;Bayerische Staatskanzlei;München;1900000;2026-07-15T10:00:00.000Z;90911200;75;https://ted.europa.eu/bg/notice/-/detail/471147-2026
475730-2026;;Deutschland – Gebäudereinigung – Unterhaltsreinigung in der Bayerischen Staatskanzlei;Bayerische Staatskanzlei;München;1900000;2026-07-21T10:00:00.000Z;90911200;75;https://ted.europa.eu/bg/notice/-/detail/475730-2026
487773-2026;;Deutschland – Gebäudereinigung – Unterhalts- und Glasreinigung für die Justizgebäude Strafjustizgebäude Gögginger Str. 101, Edisonstr. 7 und Depotstr. 5 in Augsburg;Freistaat Bayern, vertreten durch den Präsidenten des Landgerichts Augsburg;Augsburg;0;2026-08-19T09:00:00.000Z;90911200 90911300;75;https://ted.europa.eu/bg/notice/-/detail/487773-2026
493959-2026;;Deutschland – Hausmeisterdienste – Brühlstraße 11-13_Andertsche Wiese_Torhaus_Hannover;Bayerische Versorgungskammer;München;1;2026-08-24T10:00:00.000Z;90911000;75;https://ted.europa.eu/bg/notice/-/detail/493959-2026
501452-2026;;Deutschland – Reinigungs- und Hygienedienste – Liegenschaften und Fähren;Stadtwerke Konstanz GmbH;Konstanz;0.02;2026-08-19T08:00:00.000Z;90919200 90917000;75;https://ted.europa.eu/bg/notice/-/detail/501452-2026
505515-2026;;Deutschland – Gebäudereinigung – Unterhalts- und Glasreinigung für die Justizgebäude Strafjustizgebäude Gögginger Str. 101, Edisonstr. 7 und Depotstr. 5 in Augsburg;Freistaat Bayern, vertreten durch den Präsidenten des Landgerichts Augsburg;Augsburg;0;2026-08-19T09:00:00.000Z;90911200 90911300;75;https://ted.europa.eu/bg/notice/-/detail/505515-2026
437545-2026;;Deutschland – Wohnungs-, Gebäude- und Fensterreinigung – Stadt Rüsselsheim: Ausschreibung für die Gebäudereinigung (Unterhalts- und Glasreinigung);Stadt Rüsselsheim am Main;Rüsselsheim am Main;28589820;;90911000 90911200 90911300;70;https://ted.europa.eu/bg/notice/-/detail/437545-2026
431880-2026;;Deutschland – Gebäudereinigung – 6003061639-Gebäudereinigung Frankenberg (Eder);Bundeswehr-Dienstleistungszentrum Homberg/EFZE;Homberg/EFZE;;2026-07-27T11:00:00.000Z;90911200;68;https://ted.europa.eu/bg/notice/-/detail/431880-2026
434287-2026;;Deutschland – Reinigungsdienste – Gebäudeinnen- und Glasreinigung sowie Managementleistungen für Eigenreinigung;Stadt Lörrach, Recht/Baurecht/Vergabe;Lörrach;;2026-07-27T09:00:00.000Z;90910000;68;https://ted.europa.eu/bg/notice/-/detail/434287-2026
434804-2026;;Deutschland – Gebäudereinigung – Offenes Verfahren (EU-weit) zur Vergabe von Gebäudereinigungsleistungen (Unterhaltsreinigung) für mehrere Liegenschaften in Ober- und Niederbayern - VOEK 068-26;Bundesanstalt für Immobilienaufgaben;Bonn;;2026-08-04T07:00:00.000Z;90911200 90911300;68;https://ted.europa.eu/bg/notice/-/detail/434804-2026
